text,target,sample_id,review_id,lang,range,aspect_category,sentiment,from,to
"Judging from previous posts this used to be a good place, but not any longer.",place,1,1,EN,"[51,56)",restaurant#general,NEGATIVE,51,56
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,2,1,EN,"[75,80)",service#general,NEGATIVE,75,80
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,3,1,EN,"[0,0)",service#general,NEGATIVE,0,0
The food was lousy - too sweet or too salty and the portions tiny.,food,4,1,EN,"[4,8)",food#quality,NEGATIVE,4,8
The food was lousy - too sweet or too salty and the portions tiny.,portions,4,1,EN,"[52,60)",food#style_options,NEGATIVE,52,60
"After all that, they complained to me about the small tip.",,5,1,EN,"[0,0)",service#general,NEGATIVE,0,0
Avoid this place!,place,6,1,EN,"[11,16)",restaurant#general,NEGATIVE,11,16
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,7,2,EN,"[38,42)",food#quality,POSITIVE,38,42
Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,8,2,EN,"[0,4)",restaurant#general,POSITIVE,0,4
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,9,2,EN,"[42,69)",food#quality,POSITIVE,42,69
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,9,2,EN,"[4,15)",food#quality,POSITIVE,4,15
The wine list is interesting and has many good values.,wine list,10,2,EN,"[4,13)",drinks#style_options,POSITIVE,4,13
The wine list is interesting and has many good values.,wine list,10,2,EN,"[4,13)",drinks#prices,POSITIVE,4,13
"For the price, you cannot eat this well in Manhattan.",,11,2,EN,"[0,0)",restaurant#prices,POSITIVE,0,0
"For the price, you cannot eat this well in Manhattan.",,11,2,EN,"[0,0)",food#quality,POSITIVE,0,0
I was very disappointed with this restaurant.,restaurant,12,3,EN,"[34,44)",restaurant#general,NEGATIVE,34,44
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,13,3,EN,"[12,26)",service#general,NEGATIVE,12,26
I had to ask her three times before she finally came back with the dish Ive requested.,,14,3,EN,"[0,0)",service#general,NEGATIVE,0,0
"Food was okay, nothing great.",Food,15,3,EN,"[0,4)",food#quality,NEUTRAL,0,4
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,16,3,EN,"[0,8)",food#quality,NEGATIVE,0,8
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,16,3,EN,"[18,30)",food#quality,NEGATIVE,18,30
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,,16,3,EN,"[0,0)",restaurant#miscellaneous,NEGATIVE,0,0
I/we will never go back to this place again.,place,17,3,EN,"[32,37)",restaurant#general,NEGATIVE,32,37
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,18,4,EN,"[35,39)",restaurant#general,POSITIVE,35,39
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,19,4,EN,"[0,7)",service#general,POSITIVE,0,7
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,19,4,EN,"[20,27)",food#quality,POSITIVE,20,27
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,19,4,EN,"[0,0)",restaurant#prices,POSITIVE,0,0
You can't go wrong here.,,20,4,EN,"[0,0)",restaurant#general,POSITIVE,0,0
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,21,5,EN,"[50,65)",restaurant#general,POSITIVE,50,65
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,22,5,EN,"[0,0)",food#quality,POSITIVE,0,0
