,input_string,output_string
0,"Judging from previous posts this used to be a good place, but not any longer.","(""restaurant#general"", ""NEGATIVE"")"
1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","(""service#general"", ""NEGATIVE"")"
2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","(""service#general"", ""NEGATIVE"")"
3,The food was lousy - too sweet or too salty and the portions tiny.,"(""food#quality"", ""NEGATIVE""); (""food#style_options"", ""NEGATIVE"")"
4,"After all that, they complained to me about the small tip.","(""service#general"", ""NEGATIVE"")"
5,Avoid this place!,"(""restaurant#general"", ""NEGATIVE"")"
6,"I have eaten at Saul, many times, the food is always consistently, outrageously good.","(""food#quality"", ""POSITIVE"")"
7,Saul is the best restaurant on Smith Street and in Brooklyn.,"(""restaurant#general"", ""POSITIVE"")"
8,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
9,The wine list is interesting and has many good values.,"(""drinks#style_options"", ""POSITIVE""); (""drinks#prices"", ""POSITIVE"")"
10,"For the price, you cannot eat this well in Manhattan.","(""restaurant#prices"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
11,I was very disappointed with this restaurant.,"(""restaurant#general"", ""NEGATIVE"")"
12,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"(""service#general"", ""NEGATIVE"")"
13,I had to ask her three times before she finally came back with the dish Ive requested.,"(""service#general"", ""NEGATIVE"")"
14,"Food was okay, nothing great.","(""food#quality"", ""NEUTRAL"")"
15,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE""); (""ambience#general"", ""NEGATIVE"")"
16,I/we will never go back to this place again.,"(""restaurant#general"", ""NEGATIVE"")"
17,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","(""restaurant#general"", ""POSITIVE"")"
18,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
19,You can't go wrong here.,"(""restaurant#general"", ""POSITIVE"")"
20,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"(""restaurant#general"", ""POSITIVE"")"
21,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
22,I had the duck breast special on my last visit and it was incredible.,"(""food#quality"", ""POSITIVE"")"
23,Can't wait wait for my next visit.,"(""restaurant#general"", ""POSITIVE"")"
24,And I hate to say this but I doubt I'll ever go back. ,"(""restaurant#general"", ""NEGATIVE"")"
25,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
26,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,"(""food#quality"", ""POSITIVE"")"
27,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
28,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","(""ambience#general"", ""NEGATIVE""); (""ambience#general"", ""POSITIVE""); (""ambience#general"", ""NEGATIVE"")"
29,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","(""drinks#style_options"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
30,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
31,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,"(""service#general"", ""POSITIVE"")"
32,we love th pink pony.,"(""restaurant#general"", ""POSITIVE"")"
33,THe perfect spot.,"(""restaurant#general"", ""POSITIVE"")"
34,Food-awesome.,"(""food#quality"", ""POSITIVE"")"
35,Service- friendly and attentive.,"(""service#general"", ""POSITIVE"")"
36,Ambiance- relaxed and stylish.,"(""ambience#general"", ""POSITIVE"")"
37,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","(""restaurant#general"", ""POSITIVE"")"
38,the food is decent.,"(""food#quality"", ""NEUTRAL"")"
39,"however, it's the service that leaves a bad taste in my mouth.","(""service#general"", ""NEGATIVE"")"
40,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","(""service#general"", ""NEGATIVE"")"
41,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","(""service#general"", ""NEGATIVE"")"
42,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ","(""restaurant#general"", ""NEGATIVE"")"
43,the last time i walked by it looked pretty empty. hmmm.,"(""restaurant#miscellaneous"", ""NEGATIVE"")"
44,This place has got to be the best japanese restaurant in the new york area.,"(""restaurant#general"", ""POSITIVE"")"
45,I had a great experience.,"(""restaurant#general"", ""POSITIVE"")"
46,Food is great.,"(""food#quality"", ""POSITIVE"")"
47,Service is top notch.,"(""service#general"", ""POSITIVE"")"
48,I have been going back again and again.,"(""restaurant#general"", ""POSITIVE"")"
49,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","(""food#quality"", ""POSITIVE"")"
50,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","(""food#quality"", ""POSITIVE"")"
51,The sushi seemed pretty fresh and was adequately proportioned.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
52,The rice to fish ration was also good--they didn't try to overpack the rice.,"(""food#style_options"", ""POSITIVE"")"
53,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"(""food#quality"", ""POSITIVE"")"
54,Surprisingly nothing could be further from the truth.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
55,"In the evening, this place attracted a well dressed, with it, NY crowd.","(""restaurant#miscellaneous"", ""POSITIVE"")"
56,The food was well prepared and the service impecable.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
57,I'm going back.,"(""restaurant#general"", ""POSITIVE"")"
58,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,"(""ambience#general"", ""POSITIVE"")"
59,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
60,I will be going back and heartily recommend it!,"(""restaurant#general"", ""POSITIVE"")"
61,"It is terrific, as is the value.","(""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
62,"$6 and there is much tasty food, all of it fresh and continually refilled.","(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
63,"I am not a vegetarian but, almost all the dishes were great.","(""food#quality"", ""POSITIVE"")"
64,Go hungry and enjoy.,"(""restaurant#general"", ""POSITIVE"")"
